index,Variable,Value
0,altitude,30.0
1,wavelength,120.7
2,time,12.0
3,solar zenith angle,45.0
4,Earth-Sun distance,0.9961174644385148
5,temperature,226.50900000000001
6,O2+hv->O+O,5.112457389295032e-11
7,HNO4+hv->HO2+NO2,4.299293997117285e-05
8,O3+hv->O2+O(1D),0.00023175496873942104
9,O3+hv->O2+O(3P),0.0005092242222082447
10,NO3-(aq)+hv->NO2(aq)+O-,5.548322145777462e-08
11,NO3-(aq)+hv->NO2-(aq)+O(3P),6.663573747963112e-08
12,NOCl+hv->NO+Cl,0.004436700899256941
13,CH3Cl+hv->Products,4.492775594145925e-08
14,CH3CCl3+hv->Products,2.5535674604550097e-06
15,CCl2O+hv->Products,1.3299313458977855e-06
16,CClFO+hv->Products,7.310467390910512e-07
17,CH3OOH+hv->CH3O+OH,1.1842487992211445e-05
18,HOCH2OOH+hv->CH2(OH)O+OH,1.0856126656342038e-05
19,HO2+hv->OH+O,1.0180252129573867e-05
20,H2O2+hv->OH+OH,1.6268855205744428e-05
21,NO3+hv->NO+O2,0.024358601870091465
22,NO3+hv->NO2+O(3P),0.18691507911176589
23,HNO3+hv->OH+NO2,1.6075306006125903e-05
24,N2O+hv->N2+O(1D),8.18277618428243e-08
25,N2O5+hv->NO2+NO3,0.0001014538167057524
26,NO2+hv->NO+O(3P),0.011904882814586763
27,C2H5CHO+hv->C2H5+HCO,9.960635238030436e-05
28,CH2CHCHO+hv->Products,5.9089996649986976e-05
29,CH3CHO+hv->CH3+HCO,7.065887970633455e-05
30,CH2O+hv->H+HCO,6.820523227842127e-05
31,CH2O+hv->H2+CO,0.00010566876506196149
32,CH3COCH2CH3+hv->CH3CO+CH2CH3,3.8135093404364104e-05
33,HNO2+hv->OH+NO,0.002117009073361336
34,CHBr3+hv->Products,3.904253270619958e-05
35,CF2Br2+hv->Products,9.187098205564425e-06
36,CF2BrCl+hv->Products,8.291577081896203e-06
37,CF3Br+hv->Products,8.423763559863441e-07
38,CF2BrCF2Br+hv->Products,7.925047505528194e-06
39,I2+hv->I+I,0.12782570536282734
40,IO+hv->I+O,0.2336914807211528
41,IOH+hv->I+OH,0.011182457975616759
42,perfluoro-1-iodopropane+hv->Products,0.0002822119362806447
43,CH3OCl+hv->CH3O+Cl,0.0001415425471145342
44,CHCl3+hv->Products,9.715162980908983e-07
45,Cl2+hv->Cl+Cl,0.0034324969884915553
46,CCl4+hv->Products,3.323442647422233e-06
47,ClO+hv->Cl+O(1D),6.80956666961219e-07
48,ClO+hv->Cl+O(3P),0.0003151494972265804
49,ClOO+hv->Products,1.47934667821795e-06
50,ClOOCl+hv->Cl+ClOO,0.0029231247313212575
51,HCl+hv->H+Cl,6.791572773547153e-08
52,HOCl+hv->HO+Cl,0.0004466699344518302
53,ClNO2+hv->Cl+NO2,0.0008377744861512049
54,ClONO+hv->Cl+NO2,0.007125769765927528
55,ClONO2+hv->Cl+NO3,6.890361063727168e-05
56,ClONO2+hv->ClO+NO2,2.4671995774898117e-05
57,OClO+hv->Products,0.1120076570186148
58,Br2+hv->Br+Br,0.037592242926806456
59,BrO+hv->Br+O,0.05669670257933595
60,HOBr+hv->OH+Br,0.0030651208340172404
61,BrNO+hv->Br+NO,0.028096422171260953
62,BrONO+hv->Br+NO2,0.018630154237872804
63,BrONO+hv->BrO+NO,0.018630154237872804
64,BrNO2+hv->Br+NO2,0.0064454469311242
65,BrONO2+hv->BrO+NO2,0.00030479030638339157
66,BrONO2+hv->Br+NO3,0.0017271450695058854
67,BrCl+hv->Br+Cl,0.013308612639186129
68,CH3Br+hv->Products,4.946511733346571e-06
69,CH3ONO2+hv->CH3O+NO2,4.102905623062497e-05
70,CH3(OONO2)+hv->CH3OO+NO2,3.419947375033635e-05
71,C2H5ONO2+hv->C2H5O+NO2,4.445612081080309e-05
72,nC3H7ONO2+hv->C3H7O+NO2,5.3576840182107734e-05
73,1-C4H9ONO2+hv->1-C4H9O+NO2,5.551978296500709e-05
74,2-C4H9ONO2+hv->2-C4H9O+NO2,7.393045989842882e-06
75,nitro_acetone+hv->Products,7.113229935672692e-05
76,nitro_ethanol+hv->Products,5.945753095744494e-07
77,CH3CH2ONO2+hv->CH3CH2O+NO2,3.595875879630685e-06
78,CH3CHONO2CH3+hv->CH3CHOCH3+NO2,5.47883887728653e-06
79,CH3COCH3+hv->CH3CO+CH3,1.2940720116105714e-05
80,CCl3F+hv->Products,1.7184914891919594e-06
81,CCl2F2+hv->Products,2.0228131442115628e-07
82,CFC-113+hv->Products,2.8201666639506533e-07
83,CFC-114+hv->Products,1.6072679878350907e-08
84,CFC-115+hv->Products,8.203598048623608e-10
85,HCFC-22+hv->Products,5.191882219866326e-10
86,CF3CHCl2+hv->Products,2.3827406338153e-07
87,CF3CHFCl+hv->Products,2.1622992803672553e-09
88,HCFC-141b+hv->Products,4.2807553400974814e-07
89,HCFC-142b+hv->Products,2.266141900035358e-09
90,HCFC-225ca+hv->Products,4.841076653519733e-07
91,HCFC-225cb+hv->Products,1.9127127507257612e-08
92,C(CH3)3(ONO2)+hv->C(CH3)(O.)+NO2,1.9284877979440646e-05
93,C(CH3)3(ONO)+hv->C(CH3)3(O)+NO,0.003244088376190544
94,PAN+hv->CH3CO(OO)+NO2,1.133239985112227e-05
95,PAN+hv->CH3CO(O)+NO3,4.856742793338115e-06
96,PPN+hv->CH3CH2CO(OO)+NO2,3.644326552077336e-06
97,PPN+hv->CH3CH2CO(O)+NO3,2.3299792710002643e-06
98,CH2=C(CH3)CHO+hv->Products,7.785472127923944e-06
99,MVK+hv->Products,3.871211597041285e-05
100,HOCH2CHO+hv->CH2OH+HCO,3.240010424372994e-05
101,HOCH2CHO+hv->CH3OH+CO,3.903627017316861e-06
102,HOCH2CHO+hv->CH2CHO+OH,2.7325389121218023e-06
103,CH2(OH)COCH3+hv->CH3CO+CH2(OH),3.299116355279075e-06
104,CH2(OH)COCH3+hv->CH2(OH)CO+CH3,3.299116355279075e-06
105,CHOCHO+hv->HCO+HCO,0.00010663342228547495
106,CHOCHO+hv->H2+CO+CO,3.479849203861576e-05
107,CHOCHO+hv->CH2O+CO,5.795571537255008e-05
108,CH3COCHO+hv->CH3CO+HCO,0.0007515370825285739
109,CH3COCOCH3+hv->Products,0.00034638512158572657
110,CH3COOH+hv->CH3+COOH,2.6554597715734824e-07
111,CH3COOOH+hv->Products,3.017468997762192e-06
112,CH3COCOOH+hv->Products,0.0005371824415155207
113,CH3CH3NNO+hv->Products,0.003282406542429958
114,CF2O+hv->Products,4.483493386917132e-08
